Date,Shift,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI_Class,pm2_5_lag_1,pm2_5_lag_2,pm2_5_lag_3,pm2_5_lag_6,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_lag_6,AQI_Class_lag_1,AQI_Class_lag_2,AQI_Class_lag_3,AQI_Class_lag_6
2022-12-21,Morning,25.75,69.16666666666667,7.583333333333333,69.83333333333333,1008.8833333333333,0.0,89.5,73.1,105.0,831.0,53.2,38.2,113.0,2,48.2,75.7,30.9,11.1,31.349999999999998,24.425,24.3,24.516666666666666,2.0,2.0,1.0,0.0
2022-12-21,Night,24.875,85.83333333333333,7.8999999999999995,234.0,1007.7333333333332,0.0,98.83333333333333,85.7,123.4,980.0,62.1,37.1,127.0,2,73.1,48.2,75.7,44.9,25.75,31.349999999999998,24.425,23.65833333333333,2.0,2.0,2.0,2.0
2022-12-22,Afternoon,31.333333333333332,46.0,8.883333333333333,311.0,1006.6666666666666,0.0,52.5,41.4,62.2,632.0,40.1,35.4,163.0,2,85.7,73.1,48.2,48.9,24.875,25.75,31.349999999999998,30.599999999999998,2.0,2.0,2.0,2.0
2022-12-22,Morning,25.516666666666666,74.0,6.0,278.1666666666667,1008.85,0.0,76.0,45.5,66.1,760.0,49.2,21.2,116.0,2,41.4,85.7,73.1,30.9,31.333333333333332,24.875,25.75,24.3,2.0,2.0,2.0,1.0
2022-12-22,Night,24.758333333333336,84.83333333333333,7.1000000000000005,244.75,1008.1166666666667,0.0,66.41666666666667,44.1,66.6,710.0,66.2,31.1,101.0,2,45.5,41.4,85.7,75.7,25.516666666666666,31.333333333333332,24.875,24.425,2.0,2.0,2.0,2.0
2022-12-23,Afternoon,30.433333333333334,33.5,7.916666666666667,88.16666666666667,1008.3333333333334,0.0,77.33333333333333,35.5,53.0,533.0,32.2,23.6,147.0,2,44.1,45.5,41.4,48.2,24.758333333333336,25.516666666666666,31.333333333333332,31.349999999999998,2.0,2.0,2.0,2.0
2022-12-23,Morning,24.433333333333334,60.0,8.766666666666667,136.0,1011.5333333333333,0.0,36.5,54.1,78.9,869.0,52.9,18.0,125.0,2,35.5,44.1,45.5,73.1,30.433333333333334,24.758333333333336,25.516666666666666,25.75,2.0,2.0,2.0,2.0
2022-12-23,Night,23.599999999999998,78.33333333333333,7.091666666666666,206.16666666666666,1009.7583333333333,0.0,67.33333333333333,51.8,76.1,1039.0,94.2,19.5,95.0,2,54.1,35.5,44.1,85.7,24.433333333333334,30.433333333333334,24.758333333333336,24.875,2.0,2.0,2.0,2.0
2022-12-24,Afternoon,29.849999999999998,39.5,10.183333333333334,318.0,1009.3833333333333,0.0,99.83333333333333,42.3,64.3,693.0,62.2,19.2,174.0,2,51.8,54.1,35.5,41.4,23.599999999999998,24.433333333333334,30.433333333333334,31.333333333333332,2.0,2.0,2.0,2.0
2022-12-24,Morning,23.25,62.333333333333336,7.316666666666666,237.5,1012.4499999999999,0.0,98.83333333333333,35.9,53.7,893.0,56.1,9.9,95.0,2,42.3,51.8,54.1,45.5,29.849999999999998,23.599999999999998,24.433333333333334,25.516666666666666,2.0,2.0,2.0,2.0
2022-12-24,Night,23.150000000000002,60.5,9.358333333333333,261.9166666666667,1010.9,0.0,100.0,82.4,120.6,2601.0,150.4,21.8,64.0,2,35.9,42.3,51.8,44.1,23.25,29.849999999999998,23.599999999999998,24.758333333333336,2.0,2.0,2.0,2.0
2022-12-25,Afternoon,30.21666666666667,40.333333333333336,7.8,341.3333333333333,1010.7833333333333,0.0,99.5,30.2,49.1,742.0,42.2,22.0,117.0,1,82.4,35.9,42.3,35.5,23.150000000000002,23.25,29.849999999999998,30.433333333333334,2.0,2.0,2.0,2.0
2022-12-25,Morning,23.8,59.0,7.883333333333333,237.33333333333334,1013.5666666666666,0.0,87.66666666666667,35.7,53.4,1166.0,60.0,13.9,94.0,2,30.2,82.4,35.9,54.1,30.21666666666667,23.150000000000002,23.25,24.433333333333334,1.0,2.0,2.0,2.0
2022-12-25,Night,23.441666666666666,59.666666666666664,7.716666666666666,227.08333333333334,1012.2083333333334,0.0,99.33333333333333,75.9,111.5,2615.0,118.5,18.4,32.0,2,35.7,30.2,82.4,51.8,23.8,30.21666666666667,23.150000000000002,23.599999999999998,2.0,1.0,2.0,2.0
2022-12-26,Afternoon,30.133333333333336,39.5,4.216666666666667,25.333333333333332,1011.8333333333334,0.0,100.0,36.2,55.8,545.0,44.2,13.9,159.0,2,75.9,35.7,30.2,42.3,23.441666666666666,23.8,30.21666666666667,29.849999999999998,2.0,2.0,1.0,2.0
2022-12-26,Morning,23.616666666666664,64.66666666666667,4.55,296.5,1014.6,0.0,100.0,61.5,88.9,1912.0,61.8,9.7,99.0,2,36.2,75.9,35.7,35.9,30.133333333333336,23.441666666666666,23.8,23.25,2.0,2.0,2.0,2.0
2022-12-26,Night,23.34166666666667,70.16666666666667,7.925,170.58333333333334,1013.5749999999999,0.0,100.0,75.0,109.9,2498.0,137.8,13.9,50.0,2,61.5,36.2,75.9,82.4,23.616666666666664,30.133333333333336,23.441666666666666,23.150000000000002,2.0,2.0,2.0,2.0
2022-12-27,Afternoon,30.483333333333334,38.666666666666664,5.716666666666666,134.5,1011.65,0.0,99.33333333333333,38.9,58.8,532.0,43.0,20.1,182.0,2,75.0,61.5,36.2,30.2,23.34166666666667,23.616666666666664,30.133333333333336,30.21666666666667,2.0,2.0,2.0,1.0
2022-12-27,Morning,24.46666666666667,62.833333333333336,4.766666666666667,283.6666666666667,1014.3833333333333,0.0,99.5,54.2,78.7,950.0,62.7,14.9,103.0,2,38.9,75.0,61.5,35.7,30.483333333333334,23.34166666666667,23.616666666666664,23.8,2.0,2.0,2.0,2.0
2022-12-27,Night,24.150000000000002,74.5,6.083333333333333,207.08333333333334,1013.2833333333333,0.0,98.08333333333333,68.5,101.0,1603.0,170.4,21.6,83.0,2,54.2,38.9,75.0,75.9,24.46666666666667,30.483333333333334,23.34166666666667,23.441666666666666,2.0,2.0,2.0,2.0
2022-12-28,Afternoon,31.61666666666667,35.666666666666664,9.283333333333333,73.5,1011.3000000000001,0.0,88.16666666666667,38.8,58.8,818.0,47.5,19.5,167.0,2,68.5,54.2,38.9,36.2,24.150000000000002,24.46666666666667,30.483333333333334,30.133333333333336,2.0,2.0,2.0,2.0
2022-12-28,Morning,24.983333333333334,73.66666666666667,7.516666666666667,339.0,1014.3000000000001,0.0,79.16666666666667,82.7,122.5,1286.0,92.3,29.1,160.0,2,38.8,68.5,54.2,61.5,31.61666666666667,24.150000000000002,24.46666666666667,23.616666666666664,2.0,2.0,2.0,2.0
